Trace
Swept SA
A.14.10,N9010A
3168400,-43.7537498474121
3173970,-46.6463356018066
3179540,-43.537727355957
3185110,-41.3962516784668
3190680,-39.8028526306152
3196250,-38.9822196960449
3201820,-38.8978080749512
3207390,-39.0396156311035
3212960,-39.8826560974121
3218530,-41.1804885864258
3224100,-42.2194023132324
3229670,-42.1955108642578
3235240,-39.5974502563477
3240810,-38.5301704406738
3246380,-38.3126258850098
3251950,-38.4029273986816
3257520,-39.5318832397461
3263090,-42.0936622619629
3268660,-45.1529884338379
3274230,-45.8628273010254
3279800,-45.636589050293
3285370,-45.6894340515137
3290940,-46.8369102478027
3296510,-48.7625961303711
3302080,-45.9006996154785
3307650,-44.4366416931152
3313220,-44.1076469421387
3318790,-44.1362533569336
3324360,-44.5784454345703
3329930,-44.8239212036133
3335500,-43.1723861694336
3341070,-42.1529006958008
3346640,-41.6325187683105
3352210,-41.5987968444824
3357780,-41.742317199707
3363350,-42.5419845581055
3368920,-44.4323997497559
3374490,-48.525318145752
3380060,-52.3531036376953
3385630,-52.2438468933105
3391200,-48.5302886962891
3396770,-48.396110534668
3402340,-48.6280899047852
3407910,-49.7160263061523
3413480,-50.2262916564941
3419050,-50.1923217773438
3424620,-47.8671722412109
3430190,-47.3503608703613
3435760,-47.3567581176758
3441330,-48.177906036377
3446900,-51.0678329467773
3452470,-58.7888412475586
3458040,-58.2470512390137
3463610,-58.0815277099609
3469180,-53.1206550598145
3474750,-53.5133056640625
3480320,-53.0009803771973
3485890,-54.032657623291
3491460,-48.1900749206543
3497030,-46.233959197998
3502600,-45.8451728820801
3508170,-45.910400390625
3513740,-46.6931953430176
3519310,-47.9416694641113
3524880,-50.5141258239746
3530450,-54.7697525024414
3536020,-48.4504356384277
3541590,-45.3318786621094
3547160,-43.7441062927246
3552730,-43.5417404174805
3558300,-43.7630653381348
3563870,-45.6162490844727
3569440,-50.093318939209
3575010,-54.1085662841797
3580580,-51.6950302124023
3586150,-51.4987716674805
3591720,-51.7013320922852
3597290,-52.9433288574219
3602860,-54.1534309387207
3608430,-54.3022918701172
3614000,-54.2855377197266
3619570,-54.4273681640625
3625140,-55.6583938598633
3630710,-61.1156349182129
3636280,-60.9269943237305
3641850,-60.7663269042969
3647420,-54.896800994873
3652990,-53.435417175293
3658560,-53.3812065124512
3664130,-54.4037551879883
3669700,-58.3222961425781
3675270,-58.2081756591797
3680840,-52.0757675170898
3686410,-49.8049545288086
3691980,-48.6093406677246
3697550,-48.48193359375
3703120,-48.6056289672852
3708690,-47.8678894042969
3714260,-47.0998115539551
3719830,-47.9791412353516
3725400,-47.1006317138672
3730970,-52.4059753417969
3736540,-54.9427871704102
3742110,-54.8898849487305
3747680,-54.344841003418
3753250,-56.1235885620117
3758820,-60.7524681091309
3764390,-63.1616973876953
3769960,-55.4049339294434
3775530,-51.512092590332
3781100,-48.8172988891602
3786670,-47.4573707580566
3792240,-47.2667236328125
